numero,variable,region,model,langue,surprisal
4,5,4,BERT,Français,9.437547935970123
4,5,5,BERT,Français,7.198676767130642
4,5,6,BERT,Français,10.060527675286242
4,5,7,BERT,Français,9.237023344272883
4,5,8,BERT,Français,13.324070524913154
4,6,1,BERT,Français,2.2483552224480436
4,6,2,BERT,Français,10.485188083411343
4,6,3,BERT,Français,0.8825035324953571
4,6,4,BERT,Français,9.798038392083855
4,6,5,BERT,Français,5.858919578595612
4,6,6,BERT,Français,12.96073000477801
4,6,8,BERT,Français,12.109388276501981
4,7,1,BERT,Français,8.014528914750512
4,7,2,BERT,Français,14.67492297096668
4,7,3,BERT,Français,2.91922816746056
4,7,4,BERT,Français,12.328938754193372
4,7,5,BERT,Français,4.120382818718778
4,7,6,BERT,Français,10.063470786208377
4,7,7,BERT,Français,15.299900583050688
4,7,8,BERT,Français,13.746461931034945
4,8,1,BERT,Français,7.933158594414218
4,8,2,BERT,Français,15.21930785866659
4,8,3,BERT,Français,5.8596309347743425
4,8,4,BERT,Français,12.02361453246959
4,8,5,BERT,Français,5.645592948141553
4,8,6,BERT,Français,12.304417513366893
4,8,8,BERT,Français,13.651929572923848
5,1,1,BERT,Français,4.619189795353455
5,1,2,BERT,Français,12.647396417964789
5,1,3,BERT,Français,1.6250425258942987
5,1,4,BERT,Français,10.622953407098585
5,1,8,BERT,Français,10.460147684846923
5,2,1,BERT,Français,9.089116590372504
5,2,2,BERT,Français,15.79732089295973
5,2,3,BERT,Français,8.08437186447159
5,2,8,BERT,Français,15.64863853933062
5,3,1,BERT,Français,7.427252942595211
5,3,2,BERT,Français,14.1142381918365
5,3,3,BERT,Français,2.5291359888558804
5,3,4,BERT,Français,11.815119815581365
5,3,8,BERT,Français,11.248909874133357
5,4,1,BERT,Français,5.701829028544646
5,4,2,BERT,Français,14.836107444350581
5,4,3,BERT,Français,10.578933451508757
5,4,8,BERT,Français,15.235351600703838
5,5,1,BERT,Français,3.458428674294998
5,5,2,BERT,Français,11.921347829528923
5,5,3,BERT,Français,1.383008368632417
5,5,4,BERT,Français,10.738901927155432
5,5,5,BERT,Français,1.0669259526545865
5,5,6,BERT,Français,3.044107939053865
5,5,7,BERT,Français,16.384742723157256
5,5,8,BERT,Français,12.230677365746963
5,6,1,BERT,Français,4.405660245662345
5,6,2,BERT,Français,11.128918787548447
5,6,3,BERT,Français,1.338399871509455
5,6,4,BERT,Français,13.175274862299375
5,6,5,BERT,Français,1.5112425470127457
5,6,6,BERT,Français,10.18230576540888
5,6,8,BERT,Français,12.479313226691803
5,7,1,BERT,Français,2.4745383336138347
5,7,2,BERT,Français,12.247716344952451
5,7,3,BERT,Français,1.5472800353763845
5,7,4,BERT,Français,10.162581778354456
5,7,5,BERT,Français,0.5149960910123522
5,7,6,BERT,Français,3.0186468185309354
5,7,7,BERT,Français,15.819031752900152
5,7,8,BERT,Français,12.356396110196124
5,8,1,BERT,Français,4.739256300228105
5,8,2,BERT,Français,8.456848731903344
5,8,3,BERT,Français,1.2893972212675662
5,8,4,BERT,Français,12.497958055935607
5,8,5,BERT,Français,0.9244838009198528
5,8,6,BERT,Français,9.870453627948102
5,8,8,BERT,Français,12.84245692016203
6,1,1,BERT,Français,7.952758741320774
6,1,2,BERT,Français,4.885330056830406
6,1,3,BERT,Français,3.1445300005316366
6,1,4,BERT,Français,12.113130717944195
6,1,8,BERT,Français,15.826869747684503
6,2,1,BERT,Français,9.22777907263853
6,2,2,BERT,Français,5.6920938104085295
6,2,3,BERT,Français,2.2270065192796538
6,2,8,BERT,Français,12.632363961418315
6,3,1,BERT,Français,10.132342880320303
6,3,2,BERT,Français,8.921889595549095
6,3,3,BERT,Français,5.105172709751794
6,3,4,BERT,Français,16.42154058069895
6,3,8,BERT,Français,15.497205943003856
