numero,variable,region,model,langue,surprisal
22,ORCpl,2,BERT,Français,11.831308909213135
22,ORCpl,3,BERT,Français,12.91508685797722
22,ORCpl,4,BERT,Français,8.661729602838546
22,ORCpl,5,BERT,Français,12.817762972233044
22,ORCpl,6,BERT,Français,20.506263998012656
22,ORCpl,7,BERT,Français,15.026482258049361
22,ORCpl,8,BERT,Français,15.929809759857935
23,ORCpl,1,BERT,Français,18.858906321996276
23,ORCpl,2,BERT,Français,20.96802761214646
23,ORCpl,3,BERT,Français,11.606122931885716
23,ORCpl,4,BERT,Français,5.939147094695996
23,ORCpl,5,BERT,Français,15.17746767848309
23,ORCpl,6,BERT,Français,16.477747740270708
23,ORCpl,7,BERT,Français,11.986116132291338
23,ORCpl,8,BERT,Français,18.008992823212868
24,ORCpl,1,BERT,Français,16.06514672977902
24,ORCpl,2,BERT,Français,11.623561250698804
24,ORCpl,3,BERT,Français,24.940744834944493
24,ORCpl,4,BERT,Français,7.689271572632687
24,ORCpl,5,BERT,Français,13.84407390342456
24,ORCpl,6,BERT,Français,10.385599842128705
24,ORCpl,7,BERT,Français,10.988463731515493
24,ORCpl,8,BERT,Français,13.763374516769279
1,ORCpl,1,BERT,Français,14.46070343181794
1,ORCpl,2,BERT,Français,11.538028152600724
1,ORCpl,3,BERT,Français,8.85278498059111
1,ORCpl,4,BERT,Français,6.512668028183017
1,ORCpl,5,BERT,Français,13.846884367107835
1,ORCpl,6,BERT,Français,24.641432229216182
1,ORCpl,7,BERT,Français,12.353112727317376
1,ORCpl,8,BERT,Français,14.111023721094506
2,ORCpl,1,BERT,Français,17.916727312653727
2,ORCpl,2,BERT,Français,8.885500822164811
2,ORCpl,3,BERT,Français,8.323476963355953
2,ORCpl,4,BERT,Français,10.900425206659156
2,ORCpl,5,BERT,Français,11.487879129838626
2,ORCpl,6,BERT,Français,19.925449849493383
2,ORCpl,7,BERT,Français,10.860874153951388
2,ORCpl,8,BERT,Français,14.158183553541459
3,ORCpl,1,BERT,Français,15.864032128975593
3,ORCpl,2,BERT,Français,11.04466350696008
3,ORCpl,3,BERT,Français,13.954416626235219
3,ORCpl,4,BERT,Français,7.095250732092969
3,ORCpl,5,BERT,Français,13.424924646239909
3,ORCpl,6,BERT,Français,15.734144914206006
3,ORCpl,7,BERT,Français,13.843077981581187
3,ORCpl,8,BERT,Français,11.433643957418735
4,ORCpl,1,BERT,Français,18.149187086097793
4,ORCpl,2,BERT,Français,13.671270706851086
4,ORCpl,3,BERT,Français,21.191653717528606
4,ORCpl,4,BERT,Français,5.670326957895654
4,ORCpl,5,BERT,Français,14.231159046598506
4,ORCpl,6,BERT,Français,10.411486761671108
4,ORCpl,7,BERT,Français,9.948397064164972
4,ORCpl,8,BERT,Français,14.07294238925042
5,ORCpl,1,BERT,Français,19.652538937143664
5,ORCpl,2,BERT,Français,11.446238775905865
5,ORCpl,3,BERT,Français,9.692814619699408
5,ORCpl,4,BERT,Français,11.119308354831539
5,ORCpl,5,BERT,Français,10.664783994068099
5,ORCpl,6,BERT,Français,9.793492495489744
5,ORCpl,7,BERT,Français,2.871164089290602
5,ORCpl,8,BERT,Français,11.451545994871353
6,ORCpl,1,BERT,Français,19.18242012667936
6,ORCpl,2,BERT,Français,9.022890431278368
6,ORCpl,3,BERT,Français,12.642829797046891
6,ORCpl,4,BERT,Français,5.818917521486705
6,ORCpl,5,BERT,Français,12.044975481406407
6,ORCpl,6,BERT,Français,17.512314622798883
6,ORCpl,7,BERT,Français,8.532855320427863
6,ORCpl,8,BERT,Français,16.099063836465355
7,ORCsg,1,BERT,Français,14.357084215100423
7,ORCsg,2,BERT,Français,10.869221136290921
7,ORCsg,3,BERT,Français,13.313066956207246
7,ORCsg,4,BERT,Français,5.035545167473155
7,ORCsg,5,BERT,Français,13.636727714390112
7,ORCsg,6,BERT,Français,14.891642570476712
7,ORCsg,7,BERT,Français,11.286341216432918
7,ORCsg,8,BERT,Français,11.596591847819305
8,ORCsg,1,BERT,Français,17.692571669373997
8,ORCsg,2,BERT,Français,15.350372898237739
8,ORCsg,3,BERT,Français,10.521936351706753
8,ORCsg,4,BERT,Français,7.973683582062507
8,ORCsg,5,BERT,Français,11.600129251557007
8,ORCsg,6,BERT,Français,9.579125238723313
8,ORCsg,7,BERT,Français,18.396765542187808
8,ORCsg,8,BERT,Français,13.402097599013933
9,ORCsg,1,BERT,Français,18.48590806328599
9,ORCsg,2,BERT,Français,18.7028850178381
9,ORCsg,3,BERT,Français,9.587712112170431
9,ORCsg,4,BERT,Français,5.179611434877705
9,ORCsg,5,BERT,Français,8.814903628446151
9,ORCsg,6,BERT,Français,14.860807938479871
9,ORCsg,7,BERT,Français,13.97406731465767
9,ORCsg,8,BERT,Français,21.405898683767223
10,ORCsg,1,BERT,Français,18.10918467186055
10,ORCsg,2,BERT,Français,9.785983767228645
10,ORCsg,3,BERT,Français,11.668151323895621
10,ORCsg,4,BERT,Français,5.859906055343332
10,ORCsg,5,BERT,Français,13.177790089443302
10,ORCsg,6,BERT,Français,13.619859086783933
10,ORCsg,7,BERT,Français,17.72348550648908
10,ORCsg,8,BERT,Français,13.813099298757487
11,ORCsg,1,BERT,Français,19.74127842243514
11,ORCsg,2,BERT,Français,12.38245171234909
11,ORCsg,3,BERT,Français,13.284534805706986
11,ORCsg,4,BERT,Français,10.748147790838587
11,ORCsg,5,BERT,Français,8.39105511731907
11,ORCsg,6,BERT,Français,15.832014584474791
11,ORCsg,7,BERT,Français,8.04764496751103
11,ORCsg,8,BERT,Français,13.32889662983087
12,ORCsg,1,BERT,Français,16.715554568824125
12,ORCsg,2,BERT,Français,9.150118000732874
12,ORCsg,3,BERT,Français,12.406171916437058
12,ORCsg,4,BERT,Français,11.268155634568329
12,ORCsg,5,BERT,Français,11.306469121957367
12,ORCsg,6,BERT,Français,16.15956915325831
12,ORCsg,7,BERT,Français,7.007353770240368
12,ORCsg,8,BERT,Français,14.925115896105549
13,CMPpl,1,BERT,Français,16.932384288285085
13,CMPpl,2,BERT,Français,7.399536351124319
13,CMPpl,3,BERT,Français,8.782249183650329
13,CMPpl,4,BERT,Français,10.454317395411321
13,CMPpl,5,BERT,Français,6.7313305092331515
13,CMPpl,6,BERT,Français,9.165664559340662
13,CMPpl,7,BERT,Français,13.016157882733355
13,CMPpl,8,BERT,Français,11.927972427775376
14,CMPpl,1,BERT,Français,22.536873052007248
14,CMPpl,2,BERT,Français,15.82094863956768
14,CMPpl,3,BERT,Français,6.332909036758427
14,CMPpl,4,BERT,Français,4.876959267079192
14,CMPpl,5,BERT,Français,11.024242188559807
14,CMPpl,6,BERT,Français,8.280911203487
14,CMPpl,7,BERT,Français,11.654993459132049
14,CMPpl,8,BERT,Français,13.694099545301265
15,CMPpl,1,BERT,Français,16.269148461991488
15,CMPpl,2,BERT,Français,15.881189115356076
15,CMPpl,3,BERT,Français,14.101720979232383
15,CMPpl,4,BERT,Français,0.7253883791657523
15,CMPpl,5,BERT,Français,12.695887132776262
15,CMPpl,6,BERT,Français,10.991770584325788
15,CMPpl,7,BERT,Français,18.663059018635657
15,CMPpl,8,BERT,Français,13.978249043322299
16,CMPpl,1,BERT,Français,16.92635705780815
16,CMPpl,2,BERT,Français,11.242167595494386
16,CMPpl,3,BERT,Français,19.29315222592416
16,CMPpl,4,BERT,Français,2.4651817042106434
16,CMPpl,5,BERT,Français,11.618119257711323
16,CMPpl,6,BERT,Français,10.431680032532439
16,CMPpl,7,BERT,Français,17.593863000430723
16,CMPpl,8,BERT,Français,13.255406538100948
17,CMPpl,1,BERT,Français,18.45839830854741
17,CMPpl,2,BERT,Français,15.589121052556207
17,CMPpl,3,BERT,Français,10.006683568934676
17,CMPpl,4,BERT,Français,4.3229726010767715
17,CMPpl,5,BERT,Français,8.273704495625159
17,CMPpl,6,BERT,Français,7.991600444959965
17,CMPpl,7,BERT,Français,5.7363505433471635
17,CMPpl,8,BERT,Français,14.488052311300534
18,CMPpl,1,BERT,Français,17.209593729110594
18,CMPpl,2,BERT,Français,15.759096893110183
18,CMPpl,3,BERT,Français,22.183518827459146
18,CMPpl,4,BERT,Français,5.96206083098503
18,CMPpl,5,BERT,Français,12.859035150109753
18,CMPpl,6,BERT,Français,18.211935185269297
18,CMPpl,7,BERT,Français,18.621368179110004
18,CMPpl,8,BERT,Français,13.538403775121587
19,CMPsg,1,BERT,Français,22.01753876970709
19,CMPsg,2,BERT,Français,13.89993139333167
19,CMPsg,3,BERT,Français,18.5480096850497
19,CMPsg,4,BERT,Français,4.082724356392672
19,CMPsg,5,BERT,Français,7.8877908707980255
19,CMPsg,6,BERT,Français,7.181725902050526
19,CMPsg,7,BERT,Français,5.282039046829225
19,CMPsg,8,BERT,Français,15.547216829010445
20,CMPsg,1,BERT,Français,16.087251705001233
20,CMPsg,2,BERT,Français,4.423157825900763
20,CMPsg,3,BERT,Français,10.680801580346737
20,CMPsg,4,BERT,Français,2.9455720514463803
20,CMPsg,5,BERT,Français,20.59808980139664
20,CMPsg,6,BERT,Français,13.725499563037008
20,CMPsg,7,BERT,Français,8.899678052621098
20,CMPsg,8,BERT,Français,15.6886257079217
21,CMPsg,1,BERT,Français,18.251696778567023
21,CMPsg,2,BERT,Français,14.677741598651743
21,CMPsg,3,BERT,Français,5.839470093546636
21,CMPsg,4,BERT,Français,7.667497087660363
21,CMPsg,5,BERT,Français,8.241645216998226
21,CMPsg,6,BERT,Français,10.05058887308797
21,CMPsg,7,BERT,Français,20.970992722774845
21,CMPsg,8,BERT,Français,14.680498487317454
22,CMPsg,1,BERT,Français,15.38914355318013
22,CMPsg,2,BERT,Français,16.813503206029957
22,CMPsg,3,BERT,Français,12.533609450405528
22,CMPsg,4,BERT,Français,10.297861670281334
22,CMPsg,5,BERT,Français,11.587811108088491
22,CMPsg,6,BERT,Français,13.924889439677527
22,CMPsg,7,BERT,Français,14.171607510276083
22,CMPsg,8,BERT,Français,14.197482747425461
23,CMPsg,1,BERT,Français,13.468028215016032
23,CMPsg,2,BERT,Français,12.858664605369404
23,CMPsg,3,BERT,Français,8.469149228655668
23,CMPsg,4,BERT,Français,4.291520811983001
23,CMPsg,5,BERT,Français,12.344012095935625
23,CMPsg,6,BERT,Français,5.334534174833194
23,CMPsg,7,BERT,Français,10.738044701491045
23,CMPsg,8,BERT,Français,13.50668226347213
24,CMPsg,1,BERT,Français,16.02743952236073
24,CMPsg,2,BERT,Français,6.8329289096404375
24,CMPsg,3,BERT,Français,20.27686362826307
24,CMPsg,4,BERT,Français,8.330567749897915
24,CMPsg,5,BERT,Français,12.954505111410441
24,CMPsg,6,BERT,Français,9.16661321651132
24,CMPsg,7,BERT,Français,12.417203009413164
24,CMPsg,8,BERT,Français,14.04489235850544
1,CMPpl,1,BERT,Français,17.78524763599538
1,CMPpl,2,BERT,Français,12.186841199177644
1,CMPpl,3,BERT,Français,10.438478503317004
1,CMPpl,4,BERT,Français,2.970293708395811
1,CMPpl,5,BERT,Français,14.726310241513326
1,CMPpl,6,BERT,Français,22.005043166474568
1,CMPpl,7,BERT,Français,9.450870225390963
1,CMPpl,8,BERT,Français,12.11589181967058
2,CMPpl,1,BERT,Français,17.40686582725294
2,CMPpl,2,BERT,Français,14.877314321916796
2,CMPpl,3,BERT,Français,12.14975954799197
2,CMPpl,4,BERT,Français,5.762397747580398
2,CMPpl,5,BERT,Français,10.139810209509811
2,CMPpl,6,BERT,Français,10.081514412140494
2,CMPpl,7,BERT,Français,14.369799431732721
2,CMPpl,8,BERT,Français,13.365501219313467
3,CMPpl,1,BERT,Français,19.333798647860174
3,CMPpl,2,BERT,Français,13.126147399616285
3,CMPpl,3,BERT,Français,17.194345661527883
3,CMPpl,4,BERT,Français,6.561790392963949
3,CMPpl,5,BERT,Français,14.089708983953045
3,CMPpl,6,BERT,Français,8.034765812462418
3,CMPpl,7,BERT,Français,13.103400129211908
3,CMPpl,8,BERT,Français,9.452841516641945
4,CMPpl,1,BERT,Français,19.33631845017855
4,CMPpl,2,BERT,Français,16.354748151499326
4,CMPpl,3,BERT,Français,20.17769437984676
4,CMPpl,4,BERT,Français,3.054056675731085
4,CMPpl,5,BERT,Français,13.656556717518106
4,CMPpl,6,BERT,Français,8.965743068533671
4,CMPpl,7,BERT,Français,8.58796064874578
4,CMPpl,8,BERT,Français,13.473914529997932
5,CMPpl,1,BERT,Français,17.94438855394785
5,CMPpl,2,BERT,Français,8.911663023360935
5,CMPpl,3,BERT,Français,10.018093166661624
5,CMPpl,4,BERT,Français,4.508991379213788
5,CMPpl,5,BERT,Français,7.158999891179759
5,CMPpl,6,BERT,Français,8.980293905388399
5,CMPpl,7,BERT,Français,6.67566862738298
5,CMPpl,8,BERT,Français,13.020844010657308
6,CMPpl,1,BERT,Français,20.08172443198925
